indicator_id,geo_level,geo_name,year,period,sex,age_group,education,group_type,group,standardization,value,unit,ci_lower,ci_upper,n,source_id,source_ref,source_url,note
htp_current,germany,Deutschland,2018,2018,gesamt,18–64,gesamt,,,beobachtet,0.8,percent,,,,bgs_bayern,"Suchtmonitoring Bayern 1: Rauchen (2021), S. 4",https://www.lgl.bayern.de/publikationen/gesundheit/doc/gesundheitsreport_01_2021.pdf,"30-Tage-Prävalenz von Tabakerhitzern, Epidemiologischer Suchtsurvey (ESA) 2018; zitiert nach LGL"
lung_cancer_incidence,germany,Deutschland,2000,2000,gesamt,0–14,gesamt,,,altersstandardisiert,0.02,per_100000,,,0.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,gesamt,15–29,gesamt,,,altersstandardisiert,0.34,per_100000,,,50.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,gesamt,30–44,gesamt,,,altersstandardisiert,6.49,per_100000,,,1230.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,gesamt,45–64,gesamt,,,altersstandardisiert,78.02,per_100000,,,17240.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,gesamt,65–79,gesamt,,,altersstandardisiert,229.51,per_100000,,,24080.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,gesamt,80+,gesamt,,,altersstandardisiert,169.54,per_100000,,,5070.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,gesamt,gesamt,gesamt,,,altersstandardisiert,63.82,per_100000,,,47670.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,männlich,0–14,gesamt,,,altersstandardisiert,0.01,per_100000,,,0.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,männlich,15–29,gesamt,,,altersstandardisiert,0.4,per_100000,,,30.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,männlich,30–44,gesamt,,,altersstandardisiert,8.05,per_100000,,,780.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,männlich,45–64,gesamt,,,altersstandardisiert,116.46,per_100000,,,12850.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,männlich,65–79,gesamt,,,altersstandardisiert,429.84,per_100000,,,18530.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,männlich,80+,gesamt,,,altersstandardisiert,401.71,per_100000,,,3190.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,männlich,gesamt,gesamt,,,altersstandardisiert,115.0,per_100000,,,35380.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
lung_cancer_incidence,germany,Deutschland,2000,2000,weiblich,0–14,gesamt,,,altersstandardisiert,0.02,per_100000,,,0.0,rki_gbe_ncd,"Indikator 2020306 – Lungenkrebs: Inzidenz (Lungenkrebs: Inzidenz), Datenstand 2026-05-19",https://github.com/robert-koch-institut/Gesundheitsberichterstattung_-_Daten_zu_nichtuebertragbaren_Erkrankungen,Zentrum für Krebsregisterdaten; Europastandardbevölkerung
